studentID,name,birthDate,address,schoolCode,"P5_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)","P6_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)",applicationID,choicePartB (Top 3 Choices)
KT2025017,Lau Ka Ho,11/12/2013,17 Kwun Tong Plaza,KTPS017,"75,78,80,82,70,72,78","78,82,85,85,75,78,82",APP2025017,"KTSS017,KTSS018,KTSS019,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS020,KTSS006"
KT2025018,Chan Siu Wai,4/5/2013,22 Ngau Tau Kok Rd,KTPS018,"82,85,88,85,80,82,85","85,88,92,88,85,85,88",APP2025018,"KTSS018,KTSS019,KTSS020,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS006"
KT2025019,Ho Tsz Ching,8/19/2013,10 Lam Tin Centre,KTPS019,"72,75,78,80,70,68,75","75,78,82,85,75,72,78",APP2025019,"KTSS019,KTSS020,KTSS006,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018"
KT2025020,Leung Ho Yin,1/26/2013,4 Yau Tong Bay,KTPS020,"85,88,90,89,80,82,87","88,90,93,92,85,85,90",APP2025020,"KTSS020,KTSS006,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019"
KT2025021,Emily Jackson,08/09/2013,51 Kwun Tong Bypass,KTPS017,"14,35,76,65,31,67,44","94,67,48,59,46,84,41",APP2025021,"KTSS011,KTSS008,KTSS018,KTSS010,KTSS019,KTSS017,KTSS015,KTSS020,KTSS004,KTSS007,KTSS014,KTSS013,KTSS016,KTSS012,KTSS002,KTSS009,KTSS003,KTSS005,KTSS001,KTSS006"
KT2025022,Olivia Johnson,11/20/2013,21 Kwun Tong Bypass,KTPS007,"38,19,70,64,2,77,95","8,94,37,38,64,48,42",APP2025022,"KTSS009,KTSS005,KTSS008,KTSS011,KTSS004,KTSS006,KTSS003,KTSS012,KTSS007,KTSS020,KTSS019,KTSS018,KTSS017,KTSS015,KTSS001,KTSS010,KTSS014,KTSS002,KTSS016,KTSS013"
KT2025023,Michael Williams,03/12/2013,52 Yau Tong Bay,KTPS020,"15,37,91,50,69,13,42","88,92,26,8,63,69,54",APP2025023,"KTSS003,KTSS004,KTSS001,KTSS007,KTSS015,KTSS020,KTSS002,KTSS019,KTSS010,KTSS012,KTSS013,KTSS017,KTSS005,KTSS018,KTSS016,KTSS011,KTSS008,KTSS009,KTSS014,KTSS006"
KT2025024,Isabella Brown,01/15/2013,30 Kwun Tong Rd,KTPS019,"29,2,36,78,98,30,58","64,80,84,37,5,79,41",APP2025024,"KTSS011,KTSS003,KTSS006,KTSS002,KTSS015,KTSS010,KTSS014,KTSS019,KTSS009,KTSS020,KTSS008,KTSS012,KTSS013,KTSS017,KTSS001,KTSS005,KTSS004,KTSS007,KTSS016,KTSS018"
KT2025025,Benjamin Garcia,01/21/2013,17 Sau Mau Ping,KTPS019,"23,56,14,97,24,93,72","28,39,91,61,77,8,64",APP2025025,"KTSS020,KTSS018,KTSS011,KTSS015,KTSS016,KTSS001,KTSS004,KTSS009,KTSS008,KTSS010,KTSS005,KTSS013,KTSS012,KTSS019,KTSS017,KTSS006,KTSS007,KTSS002,KTSS014,KTSS003"
KT2025026,Emily Jones,08/27/2013,28 Kowloon Bay,KTPS018,"48,69,58,25,20,18,53","47,64,7,83,51,11,2",APP2025026,"KTSS011,KTSS016,KTSS020,KTSS001,KTSS009,KTSS015,KTSS008,KTSS019,KTSS004,KTSS014,KTSS013,KTSS002,KTSS012,KTSS007,KTSS018,KTSS003,KTSS005,KTSS010,KTSS017,KTSS006"
KT2025027,Emily Taylor,05/09/2013,25 Hoi Yuen Road,KTPS014,"86,28,51,72,6,14,99","5,77,71,19,27,84,4",APP2025027,"KTSS013,KTSS004,KTSS008,KTSS020,KTSS010,KTSS016,KTSS001,KTSS018,KTSS012,KTSS005,KTSS011,KTSS002,KTSS007,KTSS017,KTSS014,KTSS015,KTSS003,KTSS009,KTSS006,KTSS019"
KT2025028,Charlotte Wilson,02/09/2013,57 Kwun Tong Rd,KTPS006,"91,78,21,4,74,86,25","100,42,7,54,21,24,6",APP2025028,"KTSS018,KTSS012,KTSS009,KTSS002,KTSS004,KTSS011,KTSS016,KTSS019,KTSS015,KTSS008,KTSS010,KTSS017,KTSS005,KTSS003,KTSS014,KTSS007,KTSS013,KTSS001,KTSS020,KTSS006"
KT2025029,Mia Brown,11/20/2013,13 Lam Tin Road,KTPS015,"70,85,73,32,60,48,51","66,43,42,36,99,94,41",APP2025029,"KTSS004,KTSS014,KTSS008,KTSS010,KTSS012,KTSS017,KTSS019,KTSS009,KTSS011,KTSS005,KTSS015,KTSS001,KTSS018,KTSS003,KTSS002,KTSS020,KTSS007,KTSS006,KTSS016,KTSS013"
KT2025030,Ethan Jackson,08/29/2013,58 Hoi Yuen Road,KTPS007,"9,93,29,13,30,42,51","3,80,6,15,75,56,7",APP2025030,"KTSS004,KTSS020,KTSS014,KTSS008,KTSS001,KTSS017,KTSS011,KTSS016,KTSS013,KTSS010,KTSS007,KTSS019,KTSS015,KTSS006,KTSS018,KTSS003,KTSS005,KTSS009,KTSS012,KTSS002"
KT2025031,Ethan Johnson,10/26/2013,55 Sau Mau Ping,KTPS002,"62,8,14,48,77,70,18","22,57,73,56,29,39,47",APP2025031,"KTSS001,KTSS014,KTSS011,KTSS016,KTSS006,KTSS003,KTSS002,KTSS008,KTSS018,KTSS015,KTSS020,KTSS004,KTSS009,KTSS012,KTSS005,KTSS013,KTSS017,KTSS007,KTSS019,KTSS010"
KT2025032,Isabella Lopez,06/23/2013,67 Kowloon Bay,KTPS019,"92,59,43,14,88,41,39","27,27,67,71,76,41,35",APP2025032,"KTSS008,KTSS017,KTSS015,KTSS003,KTSS004,KTSS013,KTSS011,KTSS014,KTSS007,KTSS018,KTSS006,KTSS005,KTSS009,KTSS012,KTSS001,KTSS019,KTSS016,KTSS002,KTSS020,KTSS010"
KT2025033,John Wilson,12/15/2013,29 Tsui Ping Rd,KTPS010,"91,45,55,75,33,34,89","78,4,21,83,42,97,71",APP2025033,"KTSS013,KTSS016,KTSS020,KTSS004,KTSS010,KTSS009,KTSS005,KTSS003,KTSS014,KTSS018,KTSS007,KTSS012,KTSS006,KTSS001,KTSS008,KTSS002,KTSS015,KTSS019,KTSS011,KTSS017"
KT2025034,Matthew Wilson,03/30/2013,59 Lam Tin Road,KTPS003,"37,76,38,61,29,31,26","20,25,55,19,54,45,78",APP2025034,"KTSS017,KTSS002,KTSS008,KTSS001,KTSS007,KTSS013,KTSS003,KTSS005,KTSS019,KTSS014,KTSS011,KTSS018,KTSS015,KTSS016,KTSS006,KTSS010,KTSS009,KTSS012,KTSS020,KTSS004"
KT2025035,Daniel Thomas,06/24/2013,65 Yau Tong Bay,KTPS011,"40,46,0,81,52,59,32","83,64,96,19,65,90,70",APP2025035,"KTSS001,KTSS004,KTSS015,KTSS019,KTSS020,KTSS003,KTSS016,KTSS013,KTSS018,KTSS008,KTSS009,KTSS005,KTSS002,KTSS007,KTSS011,KTSS006,KTSS017,KTSS010,KTSS012,KTSS014"
KT2025036,Amelia Lopez,05/17/2013,77 Kwun Tong Bypass,KTPS011,"88,85,44,8,6,40,54","56,26,4,77,8,47,25",APP2025036,"KTSS009,KTSS014,KTSS006,KTSS012,KTSS001,KTSS010,KTSS020,KTSS017,KTSS011,KTSS005,KTSS002,KTSS007,KTSS016,KTSS003,KTSS015,KTSS013,KTSS018,KTSS008,KTSS004,KTSS019"
KT2025037,Alexander Wilson,08/10/2013,44 Ngau Tau Kok Rd,KTPS013,"3,62,29,97,39,9,15","45,93,54,97,22,68,86",APP2025037,"KTSS018,KTSS005,KTSS010,KTSS019,KTSS003,KTSS013,KTSS015,KTSS007,KTSS014,KTSS008,KTSS002,KTSS020,KTSS016,KTSS004,KTSS006,KTSS012,KTSS001,KTSS011,KTSS017,KTSS009"
KT2025038,Ethan Smith,09/16/2013,82 Kwun Tong Bypass,KTPS018,"73,20,69,42,50,38,95","6,42,99,58,40,100,40",APP2025038,"KTSS007,KTSS015,KTSS019,KTSS001,KTSS009,KTSS003,KTSS017,KTSS011,KTSS008,KTSS012,KTSS002,KTSS006,KTSS005,KTSS020,KTSS010,KTSS014,KTSS013,KTSS016,KTSS018,KTSS004"
KT2025039,Isabella Williams,02/19/2013,33 Yau Tong Bay,KTPS013,"51,97,96,82,79,11,100","51,8,5,51,10,8,77",APP2025039,"KTSS017,KTSS018,KTSS002,KTSS007,KTSS009,KTSS003,KTSS010,KTSS011,KTSS014,KTSS020,KTSS001,KTSS006,KTSS012,KTSS016,KTSS008,KTSS004,KTSS015,KTSS013,KTSS005,KTSS019"
KT2025040,Benjamin Rodriguez,03/06/2013,54 Sau Mau Ping,KTPS011,"82,59,94,53,35,29,47","98,31,31,83,66,72,39",APP2025040,"KTSS004,KTSS005,KTSS006,KTSS011,KTSS007,KTSS020,KTSS018,KTSS009,KTSS015,KTSS003,KTSS019,KTSS013,KTSS008,KTSS010,KTSS017,KTSS016,KTSS012,KTSS014,KTSS002,KTSS001"
KT2025041,Harper Davis,12/13/2013,46 Lei Yue Mun,KTPS013,"61,22,73,36,21,79,51","99,87,6,74,25,78,93",APP2025041,"KTSS002,KTSS016,KTSS020,KTSS012,KTSS001,KTSS013,KTSS005,KTSS006,KTSS011,KTSS003,KTSS014,KTSS004,KTSS010,KTSS008,KTSS017,KTSS009,KTSS007,KTSS018,KTSS015,KTSS019"
KT2025042,Harper Gonzalez,09/19/2013,9 Lei Yue Mun,KTPS020,"20,19,78,86,34,16,50","57,61,28,8,80,50,48",APP2025042,"KTSS020,KTSS016,KTSS018,KTSS007,KTSS011,KTSS001,KTSS017,KTSS019,KTSS004,KTSS015,KTSS014,KTSS008,KTSS009,KTSS003,KTSS006,KTSS012,KTSS005,KTSS013,KTSS010,KTSS002"
KT2025043,Emily Johnson,09/21/2013,12 Kwun Tong Rd,KTPS020,"32,17,6,46,70,73,62","28,85,25,61,74,79,83",APP2025043,"KTSS020,KTSS002,KTSS008,KTSS003,KTSS017,KTSS018,KTSS015,KTSS010,KTSS012,KTSS006,KTSS007,KTSS005,KTSS019,KTSS011,KTSS009,KTSS013,KTSS001,KTSS016,KTSS004,KTSS014"
KT2025044,Charlotte Anderson,12/04/2013,6 Ngau Tau Kok Rd,KTPS014,"81,75,40,19,14,22,34","56,87,32,21,86,39,34",APP2025044,"KTSS008,KTSS001,KTSS005,KTSS014,KTSS003,KTSS004,KTSS009,KTSS017,KTSS019,KTSS006,KTSS016,KTSS007,KTSS013,KTSS002,KTSS018,KTSS010,KTSS015,KTSS020,KTSS011,KTSS012"
KT2025045,Emily Lopez,12/05/2013,95 Ngau Tau Kok Rd,KTPS004,"92,19,44,18,51,83,23","96,35,76,89,12,62,1",APP2025045,"KTSS005,KTSS013,KTSS015,KTSS007,KTSS002,KTSS019,KTSS006,KTSS016,KTSS004,KTSS020,KTSS003,KTSS011,KTSS014,KTSS010,KTSS012,KTSS018,KTSS009,KTSS001,KTSS017,KTSS008"
KT2025046,John Williams,07/13/2013,84 Lam Tin Road,KTPS007,"4,18,17,93,80,14,34","80,62,1,45,79,80,40",APP2025046,"KTSS019,KTSS001,KTSS004,KTSS003,KTSS018,KTSS007,KTSS013,KTSS012,KTSS009,KTSS005,KTSS015,KTSS014,KTSS010,KTSS008,KTSS002,KTSS016,KTSS017,KTSS020,KTSS011,KTSS006"
KT2025047,David Gonzalez,08/20/2013,94 Yau Tong Bay,KTPS015,"85,98,97,47,73,92,43","22,38,17,70,88,100,63",APP2025047,"KTSS016,KTSS015,KTSS003,KTSS005,KTSS008,KTSS006,KTSS002,KTSS012,KTSS007,KTSS019,KTSS018,KTSS013,KTSS020,KTSS009,KTSS010,KTSS014,KTSS004,KTSS001,KTSS011,KTSS017"
KT2025048,Sophia Lopez,07/17/2013,22 Lam Tin Road,KTPS002,"52,90,37,98,87,28,42","53,42,41,46,77,85,12",APP2025048,"KTSS004,KTSS013,KTSS015,KTSS001,KTSS005,KTSS018,KTSS012,KTSS020,KTSS014,KTSS016,KTSS019,KTSS002,KTSS003,KTSS011,KTSS009,KTSS010,KTSS007,KTSS008,KTSS006,KTSS017"
KT2025049,Ethan Gonzalez,06/26/2013,63 Yau Tong Bay,KTPS007,"57,69,17,23,94,79,6","63,41,16,38,47,41,26",APP2025049,"KTSS003,KTSS005,KTSS011,KTSS002,KTSS017,KTSS015,KTSS014,KTSS004,KTSS013,KTSS008,KTSS009,KTSS001,KTSS006,KTSS016,KTSS018,KTSS007,KTSS020,KTSS010,KTSS012,KTSS019"
KT2025050,Amelia Gonzalez,06/15/2013,59 Kwun Tong Rd,KTPS014,"17,62,90,77,48,80,58","48,48,69,2,66,18,70",APP2025050,"KTSS004,KTSS001,KTSS007,KTSS019,KTSS015,KTSS002,KTSS010,KTSS011,KTSS018,KTSS009,KTSS016,KTSS003,KTSS017,KTSS014,KTSS008,KTSS012,KTSS013,KTSS006,KTSS005,KTSS020"
KT2025051,Amelia Hernandez,09/02/2013,24 Kwun Tong Rd,KTPS008,"64,46,34,69,92,41,49","49,4,22,73,28,25,0",APP2025051,"KTSS015,KTSS011,KTSS016,KTSS003,KTSS001,KTSS019,KTSS017,KTSS009,KTSS020,KTSS012,KTSS013,KTSS002,KTSS014,KTSS018,KTSS004,KTSS006,KTSS005,KTSS007,KTSS010,KTSS008"
KT2025052,Charlotte Jones,07/20/2013,14 Kwun Tong Rd,KTPS006,"11,43,89,22,57,73,45","72,45,39,13,0,28,89",APP2025052,"KTSS019,KTSS011,KTSS016,KTSS017,KTSS005,KTSS009,KTSS018,KTSS015,KTSS012,KTSS002,KTSS013,KTSS001,KTSS010,KTSS007,KTSS014,KTSS006,KTSS008,KTSS003,KTSS004,KTSS020"
KT2025053,Michael Williams,01/31/2013,85 Tsui Ping Rd,KTPS018,"42,75,9,97,18,25,71","38,91,38,1,34,81,50",APP2025053,"KTSS006,KTSS020,KTSS015,KTSS016,KTSS017,KTSS014,KTSS009,KTSS019,KTSS008,KTSS012,KTSS003,KTSS004,KTSS010,KTSS013,KTSS018,KTSS005,KTSS002,KTSS011,KTSS007,KTSS001"
KT2025054,John Gonzalez,11/29/2013,52 Kwun Tong Bypass,KTPS003,"65,47,89,92,74,67,17","89,1,100,16,54,88,22",APP2025054,"KTSS003,KTSS017,KTSS009,KTSS008,KTSS014,KTSS002,KTSS016,KTSS020,KTSS011,KTSS019,KTSS004,KTSS013,KTSS015,KTSS007,KTSS001,KTSS010,KTSS018,KTSS005,KTSS012,KTSS006"
KT2025055,James Smith,03/17/2013,43 Lam Tin Road,KTPS006,"44,63,22,16,21,88,37","21,35,47,42,19,5,7",APP2025055,"KTSS001,KTSS014,KTSS012,KTSS003,KTSS018,KTSS011,KTSS006,KTSS007,KTSS010,KTSS005,KTSS019,KTSS017,KTSS002,KTSS016,KTSS008,KTSS020,KTSS015,KTSS013,KTSS009,KTSS004"
KT2025056,Charlotte Taylor,05/31/2013,76 Yau Tong Bay,KTPS007,"93,72,26,65,1,47,68","61,59,63,73,86,49,40",APP2025056,"KTSS014,KTSS019,KTSS005,KTSS020,KTSS006,KTSS015,KTSS003,KTSS007,KTSS012,KTSS004,KTSS016,KTSS002,KTSS010,KTSS018,KTSS011,KTSS013,KTSS001,KTSS008,KTSS017,KTSS009"
KT2025057,Emily Wilson,07/08/2013,35 Lei Yue Mun,KTPS017,"81,50,40,53,54,38,22","18,19,32,3,22,79,99",APP2025057,"KTSS015,KTSS013,KTSS018,KTSS014,KTSS005,KTSS009,KTSS016,KTSS004,KTSS008,KTSS020,KTSS002,KTSS017,KTSS010,KTSS012,KTSS011,KTSS007,KTSS001,KTSS003,KTSS019,KTSS006"
KT2025058,Charlotte Garcia,02/04/2013,1 Lam Tin Road,KTPS001,"47,59,83,26,46,7,93","52,41,50,2,39,65,58",APP2025058,"KTSS009,KTSS014,KTSS004,KTSS006,KTSS008,KTSS001,KTSS015,KTSS007,KTSS005,KTSS010,KTSS017,KTSS002,KTSS003,KTSS016,KTSS013,KTSS020,KTSS011,KTSS018,KTSS012,KTSS019"
KT2025059,Daniel Johnson,05/11/2013,35 Ngau Tau Kok Rd,KTPS020,"96,81,34,94,21,45,34","81,30,60,17,73,99,51",APP2025059,"KTSS005,KTSS020,KTSS004,KTSS015,KTSS007,KTSS014,KTSS010,KTSS002,KTSS001,KTSS009,KTSS018,KTSS006,KTSS012,KTSS017,KTSS016,KTSS011,KTSS008,KTSS003,KTSS013,KTSS019"
KT2025060,Mary Gonzalez,12/16/2013,24 Sau Mau Ping,KTPS008,"17,66,10,49,26,22,12","45,87,15,92,32,68,31",APP2025060,"KTSS002,KTSS017,KTSS007,KTSS003,KTSS012,KTSS020,KTSS014,KTSS006,KTSS009,KTSS011,KTSS001,KTSS016,KTSS010,KTSS005,KTSS019,KTSS004,KTSS008,KTSS015,KTSS018,KTSS013"
KT2025061,Harper Moore,08/27/2013,64 Kowloon Bay,KTPS007,"22,51,10,24,33,16,24","68,70,66,27,3,62,37",APP2025061,"KTSS017,KTSS004,KTSS005,KTSS020,KTSS019,KTSS018,KTSS013,KTSS014,KTSS006,KTSS001,KTSS016,KTSS009,KTSS011,KTSS003,KTSS008,KTSS015,KTSS002,KTSS007,KTSS012,KTSS010"
KT2025062,Daniel Jones,10/21/2013,51 Sau Mau Ping,KTPS011,"20,78,16,83,82,89,84","91,70,50,14,31,26,9",APP2025062,"KTSS005,KTSS003,KTSS014,KTSS007,KTSS001,KTSS018,KTSS010,KTSS012,KTSS016,KTSS009,KTSS004,KTSS002,KTSS011,KTSS013,KTSS006,KTSS015,KTSS020,KTSS017,KTSS019,KTSS008"
KT2025063,Mary Rodriguez,03/10/2013,90 Kwun Tong Bypass,KTPS009,"22,79,58,75,85,95,17","27,12,67,34,78,69,38",APP2025063,"KTSS016,KTSS007,KTSS020,KTSS011,KTSS001,KTSS014,KTSS012,KTSS010,KTSS004,KTSS017,KTSS002,KTSS013,KTSS018,KTSS003,KTSS006,KTSS009,KTSS015,KTSS019,KTSS008,KTSS005"
KT2025064,Isabella Gonzalez,02/12/2013,85 Lam Tin Road,KTPS007,"19,14,34,22,95,50,32","97,21,15,11,6,75,24",APP2025064,"KTSS004,KTSS019,KTSS008,KTSS002,KTSS020,KTSS010,KTSS006,KTSS005,KTSS001,KTSS007,KTSS003,KTSS016,KTSS012,KTSS013,KTSS015,KTSS009,KTSS017,KTSS014,KTSS018,KTSS011"
KT2025065,Harper Martin,12/06/2013,14 Lam Tin Road,KTPS010,"92,89,17,66,81,4,28","52,15,31,17,0,14,71",APP2025065,"KTSS017,KTSS013,KTSS008,KTSS010,KTSS018,KTSS005,KTSS011,KTSS020,KTSS001,KTSS006,KTSS009,KTSS016,KTSS015,KTSS014,KTSS007,KTSS019,KTSS012,KTSS003,KTSS002,KTSS004"
KT2025066,Ethan Miller,10/02/2013,92 Lam Tin Road,KTPS019,"47,2,47,51,20,7,15","88,2,59,47,25,97,65",APP2025066,"KTSS003,KTSS014,KTSS019,KTSS012,KTSS015,KTSS008,KTSS011,KTSS001,KTSS009,KTSS018,KTSS013,KTSS005,KTSS016,KTSS006,KTSS002,KTSS017,KTSS007,KTSS004,KTSS010,KTSS020"
KT2025067,Matthew Gonzalez,09/16/2013,91 Hoi Yuen Road,KTPS013,"81,53,6,75,57,89,0","13,30,89,5,42,94,35",APP2025067,"KTSS008,KTSS004,KTSS009,KTSS015,KTSS014,KTSS019,KTSS010,KTSS020,KTSS012,KTSS017,KTSS002,KTSS007,KTSS003,KTSS018,KTSS006,KTSS001,KTSS016,KTSS005,KTSS011,KTSS013"
KT2025068,David Miller,08/22/2013,25 Tsui Ping Rd,KTPS007,"64,34,88,65,54,29,89","61,25,16,14,98,95,74",APP2025068,"KTSS002,KTSS018,KTSS019,KTSS004,KTSS014,KTSS011,KTSS003,KTSS001,KTSS017,KTSS009,KTSS012,KTSS013,KTSS015,KTSS005,KTSS006,KTSS010,KTSS008,KTSS007,KTSS020,KTSS016"
KT2025069,Ethan Brown,02/05/2013,24 Kowloon Bay,KTPS007,"63,71,62,76,84,94,80","88,3,25,98,21,73,32",APP2025069,"KTSS001,KTSS007,KTSS017,KTSS012,KTSS003,KTSS015,KTSS009,KTSS014,KTSS018,KTSS008,KTSS013,KTSS016,KTSS002,KTSS020,KTSS010,KTSS006,KTSS005,KTSS011,KTSS019,KTSS004"
